曾文水庫	49181.0	36950.0	2026-01-11
南化水庫	8522.63	5474.79	2026-01-11
鏡面水庫	96.57	77.07	2026-01-11
阿公店水庫	1467.92	1205.0	2026-01-11
牡丹水庫	2622.08	2345.0	2026-01-11
成功水庫	121.0	109.03	2026-01-10
興仁水庫	74.0	34.35	2026-01-10
太湖水庫	148.08	129.11	2026-01-11
田埔水庫	48.62	37.44	2026-01-11
金沙水庫	43.47	33.4	2026-01-11
后沃水庫	41.63	29.11	2026-01-08
鳳山水庫	-1.0	447.64	2026-01-09
澄清湖水庫	-1.0	217.0	2026-01-08
石門水庫	20526.0	20432.04	2026-01-12
西勢水庫	39.6	30.95	2026-01-12
新山水庫	995.96	736.25	2026-01-12
翡翠水庫	36997.6	35031.71	2026-01-12
寶山水庫	500.83	271.65	2026-01-12
寶山第二水庫	3379.78	2478.9	2026-01-12
永和山水庫	2993.43	2262.52	2026-01-12
大埔水庫	529.9	-1.0	2026-01-12
明德水庫	1242.28	793.78	2026-01-12
鯉魚潭水庫	11584.35	8056.48	2026-01-12
德基水庫	18432.88	17511.93	2026-01-12
石岡壩	120.21	26.68	2026-01-12
霧社水庫	2572.22	2114.23	2026-01-12
日月潭水庫	12846.14	11110.5	2026-01-12
湖山水庫	5041.0	3028.65	2026-01-12
仁義潭水庫	2459.19	1233.93	2026-01-12
蘭潭水庫	919.7	527.21	2026-01-12
白河水庫	1404.16	383.0	2026-01-12
烏山頭水庫	7737.94	3790.0	2026-01-12
曾文水庫	49181.0	36950.0	2026-01-12
南化水庫	8522.63	5433.67	2026-01-12
鏡面水庫	96.57	76.97	2026-01-12
阿公店水庫	1467.92	1191.0	2026-01-12
鳳山水庫	-1.0	445.31	2026-01-12
牡丹水庫	2622.08	2334.0	2026-01-12
成功水庫	121.0	108.55	2026-01-12
興仁水庫	74.0	33.88	2026-01-12
太湖水庫	148.08	129.04	2026-01-12
田埔水庫	48.62	37.27	2026-01-12
金沙水庫	43.47	33.4	2026-01-12
后沃水庫	41.63	29.07	2026-01-12
石門水庫	20526.0	20432.04	2026-01-13
西勢水庫	39.6	28.47	2026-01-13
新山水庫	995.96	742.79	2026-01-13
翡翠水庫	36997.6	34968.7	2026-01-13
寶山水庫	500.83	271.65	2026-01-13
寶山第二水庫	3379.78	2467.17	2026-01-13
永和山水庫	2993.43	2253.51	2026-01-13
大埔水庫	529.9	-1.0	2026-01-13
明德水庫	1242.28	792.49	2026-01-13
鯉魚潭水庫	11584.35	8028.02	2026-01-13
德基水庫	18432.88	17553.22	2026-01-13
石岡壩	120.21	28.54	2026-01-13
